name	year_span	population	id
Nepal	1995 - 2000	9.40	NPL
North Korea	1995 - 2000	9.40	PRK
Uruguay	1995 - 2000	9.40	URY
Luxembourg	1995 - 2000	9.30	LUX
Montenegro	1995 - 2000	9.30	MNE
Myanmar	1995 - 2000	9.30	MMR
Sao Tome and Principe	1995 - 2000	9.30	STP
France	1995 - 2000	9.20	FRA
Pakistan	1995 - 2000	9.20	PAK
Greece	1995 - 2000	9.10	GRC
India	1995 - 2000	9.10	IND
Spain	1995 - 2000	8.90	ESP
Switzerland	1995 - 2000	8.90	CHE
Netherlands	1995 - 2000	8.80	NLD
United States	1995 - 2000	8.70	USA
Armenia	1995 - 2000	8.60	ARM
Papua New Guinea	1995 - 2000	8.60	PNG
Ireland	1995 - 2000	8.40	IRL
Bosnia and Herzegovina	1995 - 2000	8.30	BIH
Grenada	1995 - 2000	8.30	GRD
Mongolia	1995 - 2000	8.30	MNG
Solomon Islands	1995 - 2000	8.30	SLB
Macedonia	1995 - 2000	8.20	MKD
Kiribati	1995 - 2000	8.00	KIR
Puerto Rico	1995 - 2000	8.00	PRI
Guyana	1995 - 2000	7.90	GUY
Kyrgyzstan	1995 - 2000	7.90	KGZ
Turkmenistan	1995 - 2000	7.90	TKM
Argentina	1995 - 2000	7.80	ARG
Tajikistan	1995 - 2000	7.80	TJK
Trinidad and Tobago	1995 - 2000	7.80	TTO
Azerbaijan	1995 - 2000	7.70	AZE
Sri Lanka	1995 - 2000	7.70	LKA
Malta	1995 - 2000	7.60	MLT
Bangladesh	1995 - 2000	7.50	BGD
Japan	1995 - 2000	7.40	JPN
New Zealand	1995 - 2000	7.40	NZL
Saint Lucia	1995 - 2000	7.40	LCA
Seychelles	1995 - 2000	7.40	SYC
Canada	1995 - 2000	7.30	CAN
Suriname	1995 - 2000	7.30	SUR
Indonesia	1995 - 2000	7.20	IDN
Jamaica	1995 - 2000	7.20	JAM
Cuba	1995 - 2000	7.10	CUB
Saint Vincent and the Grenadines	1995 - 2000	7.10	VCT
El Salvador	1995 - 2000	7.00	SLV
Australia	1995 - 2000	6.90	AUS
Cyprus	1995 - 2000	6.90	CYP
Turkey	1995 - 2000	6.90	TUR
Uzbekistan	1995 - 2000	6.90	UZB
Iceland	1995 - 2000	6.80	ISL
Vanuatu	1995 - 2000	6.80	VUT
Antigua and Barbuda	1995 - 2000	6.70	ATG
Cape Verde	1995 - 2000	6.70	CPV
Egypt	1995 - 2000	6.70	EGY
Guatemala	1995 - 2000	6.70	GTM
Mauritius	1995 - 2000	6.60	MUS
Thailand	1995 - 2000	6.60	THA
China	1995 - 2000	6.50	CHN
Morocco	1995 - 2000	6.50	MAR
Micronesia	1995 - 2000	6.30	FSM
Samoa	1995 - 2000	6.30	WSM
Albania	1995 - 2000	6.20	ALB
Brazil	1995 - 2000	6.20	BRA
Tonga	1995 - 2000	6.20	TON
Belize	1995 - 2000	6.10	BLZ
Peru	1995 - 2000	6.10	PER
Philippines	1995 - 2000	6.10	PHL
Dominican Republic	1995 - 2000	6.00	DOM
Fiji	1995 - 2000	6.00	FJI
Israel	1995 - 2000	6.00	ISR
Paraguay	1995 - 2000	6.00	PRY
Lebanon	1995 - 2000	5.90	LBN
Taiwan	1995 - 2000	5.90	TWN
United States Virgin Islands	1995 - 2000	5.80	VIR
Bahamas	1995 - 2000	5.70	BHS
Colombia	1995 - 2000	5.70	COL
Iraq	1995 - 2000	5.70	IRQ
Nicaragua	1995 - 2000	5.60	NIC
Vietnam	1995 - 2000	5.60	VNM
Honduras	1995 - 2000	5.50	HND
Maldives	1995 - 2000	5.50	MDV
Tunisia	1995 - 2000	5.50	TUN
Ecuador	1995 - 2000	5.40	ECU
South Korea	1995 - 2000	5.40	KOR
Algeria	1995 - 2000	5.30	DZA
Chile	1995 - 2000	5.30	CHL
Iran	1995 - 2000	5.30	IRN
Venezuela	1995 - 2000	5.00	VEN
Libya	1995 - 2000	4.80	LBY
Mexico	1995 - 2000	4.80	MEX
Panama	1995 - 2000	4.80	PAN
Singapore	1995 - 2000	4.60	SGP
Guam	1995 - 2000	4.50	GUM
Malaysia	1995 - 2000	4.50	MYS
Jordan	1995 - 2000	4.30	JOR
Costa Rica	1995 - 2000	4.00	CRI
Saudi Arabia	1995 - 2000	3.90	SAU
Syria	1995 - 2000	3.90	SYR
Oman	1995 - 2000	3.80	OMN
Brunei	1995 - 2000	3.20	BRN
Bahrain	1995 - 2000	3.00	BHR
Kuwait	1995 - 2000	2.50	KWT
Qatar	1995 - 2000	2.10	QAT
United Arab Emirates	1995 - 2000	2.10	ARE
